channel_id,channel_name,channel_type,base_url,discovery_method,download_method,assembly_evidence_available,automation_level,access_status,license_handling,verification_status,workflow_role,known_limitation
cadenas_3dfindit,3Dfindit / CADENAS,Manufacturer CAD portal,https://www.3dfindit.com,Product taxonomy and manufacturer search,Configured CAD download/API,Manufacturer identity configuration and product classification,partial,login_or_contract,Manufacturer terms,qualified_manual,Configured multi-component products,Mostly supplier components; many are single standard parts
traceparts,TraceParts,Manufacturer CAD portal,https://www.traceparts.com,Web/API product search,Configured CAD download/API,Product family and configuration metadata,partial,login_or_contract,Manufacturer terms,qualified_but_deprioritized,Only multi-component configured products,Corpus dominated by isolated standard parts
cad_exchanger,CAD Exchanger model catalog,CAD conversion/sample portal,https://cadexchanger.com/3d-models,Web model search,Manual download,Format and assembly preview,manual,mixed,Per-model terms,qualified_manual,Occasional complex neutral-format assemblies,Download/access differs per model
wikifactory,Wikifactory,Open-hardware project platform,https://wikifactory.com,Project search and file tree,Project file download,Project documentation BOM files and licenses,partial,public_or_login,Per-project license,qualified,Open-hardware assembly discovery,Many projects publish STL or native CAD only
ohwr,CERN Open Hardware Repository,Open-hardware forge,https://ohwr.org,Project catalog and GitLab search,Repository archive or direct file,Project license tree and hardware documentation,partial,public,CERN OHL commonly explicit,qualified,Scientific and industrial open hardware,Mechanical STEP content is sparse relative to electronics
gitlab,GitLab.com public projects,Code and hardware forge,https://gitlab.com,REST project/blob search where allowed,Raw file or repository archive,Repository license paths and file names,partial,public_or_token,Repository license,qualified,Non-GitHub forge expansion,Global blob search usually requires authentication
osf,Open Science Framework,Research repository,https://osf.io,OSF REST API and external search,Public storage file URL,Project components file tree and metadata,full,public_or_login,Per-project license,qualified_no_strong_lead,Potential reproducible hardware source,Search precision for STEP assembly is low
figshare,Figshare,General research repository,https://figshare.com,Public REST API/DataCite,Direct file URL,File manifest checksum description and license,full,public,Per-record license,qualified_no_strong_lead,Secondary research repository,Search term STEP has severe semantic noise
huggingface,Hugging Face Datasets,ML dataset hub,https://huggingface.co/datasets,Hub API and dataset cards,HTTP/LFS files,Card metadata repository tree and checksums,full,public_or_gated,Dataset-card license,qualified_metadata_only,Large CAD benchmark discovery,Most CAD corpora contain isolated parts or meshes rather than real assemblies
kaggle,Kaggle Datasets,ML dataset portal,https://www.kaggle.com/datasets,API search,Authenticated API download,Dataset card file list and version metadata,partial,login_required,Dataset-specific license,qualified_metadata_only,Possible mirrored CAD corpora,Credential requirement and many repackaged sources
nasa_3d,NASA 3D Resources,Government 3D portal,https://nasa3d.arc.nasa.gov,Curated web search,Direct asset packages,Asset descriptions and previews,manual,public,Government asset terms,screened_out_for_current_goal,Domain discovery only,Predominantly visualization meshes rather than STEP multi-part assemblies
samplefile,SampleFile STEP examples,Generic sample site,https://samplefile.com/samples/three-d/step,Web list,Direct file,File name and size only,manual,public,Site terms,screened_out_for_current_goal,Negative control,Tiny synthetic or isolated models; not real manufacturing assemblies
