id,provider,title,manufacturing_sector,sector_confidence,engineering_domains,possible_components,assembly_confidence,assembly_score,decision,access_status,license,landing_url,download_url,evidence,caveats
zenodo_mk4_prosthetic_hand,zenodo,MK4 Prosthetic Hand,biomedical_rehabilitation,high,power_transmission | human_interface | fastening_joining,gears_racks_worms | pulleys_belts_chains | screws_bolts | springs_elastic,high,9,priority_download,verified_direct,CC-BY-4.0,https://zenodo.org/records/21489522,https://zenodo.org/records/21489522/files/Assembled%20prosthesis.STEP?download=1,explicit_full_assembly:assembled | parts_evidence:components | repetition_evidence:bolts | step_brep_format,
zenodo_cadog_eval,zenodo,cadog Evaluation Assemblies,industrial_equipment,medium,,,medium,7,metadata_first,verified_direct,mixed-review-required,https://zenodo.org/records/17644971,https://zenodo.org/records/17644971/files/cadog-evaluation-data-zenodo-v1.0.2.zip?download=1,explicit_full_assembly:assemblies | parts_evidence:parts list | step_brep_format,
zenodo_allstruder,zenodo,Allstruder Modular Syringe Extruder,additive_manufacturing,medium,structure_enclosure | fluid_handling,frames_brackets_plates | valves_pumps_cylinders,high,12,manual_license_review,verified_direct,unknown,https://zenodo.org/records/21359888,https://zenodo.org/records/21359888/files/Allstruder%20Assembly.STEP?download=1,explicit_full_assembly:complete assembly | parts_evidence:components | assembly_file:assembly.step | step_brep_format | step_structure:solid_markers=18,license_requires_review
dryad_automate,dryad,AutoMate BREP CAD Assemblies,unknown,low,,,medium,7,metadata_first,verified_api,CC0-1.0,https://datadryad.org/dataset/doi:10.5061/dryad.2547d7wvw,,explicit_full_assembly:assemblies | product_structure:assembly graph|mates | step_brep_format,
nist_mtc_box,nist,NIST MTC Box Assembly,automotive_mobility,medium,fastening_joining | structure_enclosure,covers_housings | screws_bolts | frames_brackets_plates | nuts_washers,medium,6,metadata_first,public,NIST-unrestricted,https://pages.nist.gov/CAD-PMI-Testing/step-file-viewer.html,,parts_evidence:bom | repetition_evidence:nuts|screws | step_brep_format,
nist_ftc_fit_assembly,nist,NIST FTC 07-10 Fit Assembly,industrial_equipment,medium,,covers_housings | pulleys_belts_chains,low,2,manual_assembly_review,public,NIST-unrestricted,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,,step_brep_format,
steptools_as1_ac,steptools,STEP Tools AS1 AutoCAD Assembly,unknown,low,,pulleys_belts_chains | tools_cutters,high,11,priority_download,verified_direct,sample-use-review,https://steptools.com/docs/stpfiles/ap214/index.html,https://steptools.com/docs/stpfiles/ap214/as1-ac-214.stp,"product_structure:product structure | repetition_evidence:repeated | step_brep_format | step_structure:products=9,occurrences=13",
steptools_as1_ec,steptools,STEP Tools AS1 Euclid Assembly,unknown,low,,pulleys_belts_chains | tools_cutters,high,12,priority_download,verified_direct,sample-use-review,https://steptools.com/docs/stpfiles/ap214/index.html,https://steptools.com/docs/stpfiles/ap214/as1-ec-214.stp,"explicit_full_assembly:assemblies | product_structure:product structure | step_brep_format | step_structure:products=9,occurrences=13",
steptools_as1_ug,steptools,STEP Tools AS1 Unigraphics Assembly,unknown,low,,pulleys_belts_chains | tools_cutters,high,12,priority_download,verified_direct,sample-use-review,https://steptools.com/docs/stpfiles/ap214/index.html,https://steptools.com/docs/stpfiles/ap214/as1-ug-214.stp,"explicit_full_assembly:assemblies | product_structure:product structure | step_brep_format | step_structure:products=9,occurrences=13",
merl_assemblybench,merl,AssemblyBench,industrial_equipment,medium,,,low,0,reject_or_metadata_only,public,research-use-review,https://merl.com/research/downloads/AssemblyBench,,,no_step_brep_evidence
autodesk_fusion_gallery_assembly,autodesk,Fusion 360 Gallery Assembly Dataset,unknown,low,,,low,2,manual_assembly_review,public,research-use-review,https://www.research.autodesk.com/publications/fusion-360-gallery/,,step_brep_format,
onshape_public_documents,onshape,Onshape Public Document Assemblies,unknown,low,,,medium,5,reject_or_metadata_only,login_required,per-document,https://onshape-public.github.io/docs/api-adv/translation/,,explicit_full_assembly:assemblies|entire assembly | product_structure:mates,access_login_required | no_step_brep_evidence
mendeley_arm01,mendeley,ARM-01 Rehabilitation Robot,biomedical_rehabilitation,high,,,low,0,reject_or_metadata_only,verified_api,CC-BY-4.0,https://data.mendeley.com/datasets/c4kc5bdztk/2,,,no_step_brep_evidence
